id,device,timestamp,configUpdatePeriod,configUpdateUrl,dataArchivePeriod,dataRequests_edu.mit.media.funf.probe.builtin.HardwareInfoProbe_PERIOD,dataRequests_edu.mit.media.funf.probe.builtin.RunningApplicationsProbe_PERIOD,dataUploadPeriod,dataUploadUrl,name,version
c30b2704-2c0f-4560-a457-492bc8410b3c-1,7cdb2857-1e43-40af-920e-c7a07d4c5434,94341123,3600,,3600,604802,60,3600,,example,1
c30b2704-2c0f-4560-a457-492bc8410b3c-2,7cdb2857-1e43-40af-920e-c7a07d4c5434,94341156,3600,,3600,604802,60,3600,,example,1
c30b2704-2c0f-4560-a457-492bc8410b3c-3,7cdb2857-1e43-40af-920e-c7a07d4c5434,94341202,3600,,3600,604802,60,3600,,example,1
c30b2704-2c0f-4560-a457-492bc8410b3c-4,7cdb2857-1e43-40af-920e-c7a07d4c5434,94341246,3600,,3600,604802,60,3600,,example,1
c30b2704-2c0f-4560-a457-492bc8410b3c-5,7cdb2857-1e43-40af-920e-c7a07d4c5434,94341294,3600,,3600,604802,60,3600,,example,1
c30b2704-2c0f-4560-a457-492bc8410b3c-6,7cdb2857-1e43-40af-920e-c7a07d4c5434,94341311,3600,,3600,604802,60,3600,,example,1
c30b2704-2c0f-4560-a457-492bc8410b3c-7,7cdb2857-1e43-40af-920e-c7a07d4c5434,94341320,3600,,3600,604802,60,3600,,example,1
c30b2704-2c0f-4560-a457-492bc8410b3c-8,7cdb2857-1e43-40af-920e-c7a07d4c5434,94341348,3600,,3600,604802,60,3600,,example,1
c30b2704-2c0f-4560-a457-492bc8410b3c-9,7cdb2857-1e43-40af-920e-c7a07d4c5434,94341359,3600,,3600,604802,60,3600,,example,1
c30b2704-2c0f-4560-a457-492bc8410b3c-10,7cdb2857-1e43-40af-920e-c7a07d4c5434,94341372,3600,,3600,604802,60,3600,,example,1
c30b2704-2c0f-4560-a457-492bc8410b3c-11,7cdb2857-1e43-40af-920e-c7a07d4c5434,94341379,3600,,3600,604802,60,3600,,example,1
