id,device,timestamp,health,icon-small,invalid_charger,level,plugged,present,scale,status,technology,temperature,voltage
835c25b3-88b0-4efa-82ac-1c29b5e47bf0-6,816befd5-e3a6-4ca3-896c-878a2e2cf748,1337006220,2,17302707,0,99,0,True,100,4,Li-ion,187,8247
835c25b3-88b0-4efa-82ac-1c29b5e47bf0-10,816befd5-e3a6-4ca3-896c-878a2e2cf748,1337006220,2,17302707,0,99,0,True,100,4,Li-ion,187,8247
835c25b3-88b0-4efa-82ac-1c29b5e47bf0-14,816befd5-e3a6-4ca3-896c-878a2e2cf748,1337006475,2,17302707,0,98,0,True,100,4,Li-ion,192,8247
835c25b3-88b0-4efa-82ac-1c29b5e47bf0-17,816befd5-e3a6-4ca3-896c-878a2e2cf748,1337006615,2,17302707,0,99,0,True,100,4,Li-ion,188,8286
835c25b3-88b0-4efa-82ac-1c29b5e47bf0-19,816befd5-e3a6-4ca3-896c-878a2e2cf748,1337006615,2,17302707,0,99,0,True,100,4,Li-ion,188,8286
835c25b3-88b0-4efa-82ac-1c29b5e47bf0-23,816befd5-e3a6-4ca3-896c-878a2e2cf748,1337006773,2,17302707,0,98,0,True,100,4,Li-ion,190,8247
835c25b3-88b0-4efa-82ac-1c29b5e47bf0-27,816befd5-e3a6-4ca3-896c-878a2e2cf748,1337006773,2,17302707,0,98,0,True,100,4,Li-ion,190,8247
835c25b3-88b0-4efa-82ac-1c29b5e47bf0-33,816befd5-e3a6-4ca3-896c-878a2e2cf748,1337006773,2,17302707,0,98,0,True,100,4,Li-ion,190,8247
835c25b3-88b0-4efa-82ac-1c29b5e47bf0-39,816befd5-e3a6-4ca3-896c-878a2e2cf748,1337007588,2,17302707,0,97,0,True,100,4,Li-ion,193,8208
835c25b3-88b0-4efa-82ac-1c29b5e47bf0-41,816befd5-e3a6-4ca3-896c-878a2e2cf748,1337007588,2,17302707,0,97,0,True,100,4,Li-ion,193,8208
300e69f2-8254-46a0-8805-b21c5147c0c3-14,4c4e303a-d752-4cb9-9403-cc3c476968a3,1337008279,2,17302707,0,95,0,True,100,4,Li-ion,217,8159
300e69f2-8254-46a0-8805-b21c5147c0c3-15,4c4e303a-d752-4cb9-9403-cc3c476968a3,1337008279,2,17302707,0,95,0,True,100,4,Li-ion,217,8159
f8c9e7c6-12fd-4a4c-8d69-aebeb50d498e-13,f416bdb2-3848-480a-ab11-77e91a3568b3,1337008522,2,17302707,0,94,0,True,100,4,Li-ion,220,8149
f8c9e7c6-12fd-4a4c-8d69-aebeb50d498e-14,f416bdb2-3848-480a-ab11-77e91a3568b3,1337008522,2,17302707,0,94,0,True,100,4,Li-ion,220,8149
74858ef8-c44f-4b78-bb0d-92fc17021cd6-2,f416bdb2-3848-480a-ab11-77e91a3568b3,1337013654,2,17302707,0,95,0,True,100,4,Li-ion,167,8149
74858ef8-c44f-4b78-bb0d-92fc17021cd6-4,f416bdb2-3848-480a-ab11-77e91a3568b3,1337013654,2,17302707,0,95,0,True,100,4,Li-ion,167,8149
a0283520-52d1-43a8-bb82-c7b21a614db0-2,f416bdb2-3848-480a-ab11-77e91a3568b3,1337013678,2,17302707,0,94,0,True,100,4,Li-ion,171,8110
a0283520-52d1-43a8-bb82-c7b21a614db0-5,f416bdb2-3848-480a-ab11-77e91a3568b3,1337013830,2,17302707,0,93,0,True,100,4,Li-ion,180,8081
a0283520-52d1-43a8-bb82-c7b21a614db0-8,f416bdb2-3848-480a-ab11-77e91a3568b3,1337013830,2,17302707,0,93,0,True,100,4,Li-ion,180,8081
a0283520-52d1-43a8-bb82-c7b21a614db0-9,f416bdb2-3848-480a-ab11-77e91a3568b3,1337013980,2,17302707,0,92,0,True,100,4,Li-ion,185,8061
a0283520-52d1-43a8-bb82-c7b21a614db0-13,f416bdb2-3848-480a-ab11-77e91a3568b3,1337014130,2,17302707,0,91,0,True,100,4,Li-ion,187,8052
a0283520-52d1-43a8-bb82-c7b21a614db0-15,f416bdb2-3848-480a-ab11-77e91a3568b3,1337014130,2,17302707,0,91,0,True,100,4,Li-ion,187,8052
a0283520-52d1-43a8-bb82-c7b21a614db0-18,f416bdb2-3848-480a-ab11-77e91a3568b3,1337014330,2,17302707,0,90,0,True,100,4,Li-ion,190,8042
a0283520-52d1-43a8-bb82-c7b21a614db0-21,f416bdb2-3848-480a-ab11-77e91a3568b3,1337014480,2,17302707,0,89,0,True,100,4,Li-ion,192,8032
a0283520-52d1-43a8-bb82-c7b21a614db0-23,f416bdb2-3848-480a-ab11-77e91a3568b3,1337014480,2,17302707,0,89,0,True,100,4,Li-ion,192,8032
a0283520-52d1-43a8-bb82-c7b21a614db0-26,f416bdb2-3848-480a-ab11-77e91a3568b3,1337014680,2,17302707,0,88,0,True,100,4,Li-ion,201,8012
a0283520-52d1-43a8-bb82-c7b21a614db0-30,f416bdb2-3848-480a-ab11-77e91a3568b3,1337014680,2,17302707,0,88,0,True,100,4,Li-ion,201,8012
a0283520-52d1-43a8-bb82-c7b21a614db0-32,f416bdb2-3848-480a-ab11-77e91a3568b3,1337014930,2,17302707,0,87,0,True,100,4,Li-ion,210,7993
a0283520-52d1-43a8-bb82-c7b21a614db0-36,f416bdb2-3848-480a-ab11-77e91a3568b3,1337015131,2,17302707,0,86,0,True,100,4,Li-ion,215,7983
a0283520-52d1-43a8-bb82-c7b21a614db0-37,f416bdb2-3848-480a-ab11-77e91a3568b3,1337015131,2,17302707,0,86,0,True,100,4,Li-ion,215,7983
a0283520-52d1-43a8-bb82-c7b21a614db0-42,f416bdb2-3848-480a-ab11-77e91a3568b3,1337015381,2,17302707,0,85,0,True,100,4,Li-ion,222,7954
a0283520-52d1-43a8-bb82-c7b21a614db0-44,f416bdb2-3848-480a-ab11-77e91a3568b3,1337015381,2,17302707,0,85,0,True,100,4,Li-ion,222,7954
9cc55b67-5cc1-44fa-b58f-072e21637ff4-3,f416bdb2-3848-480a-ab11-77e91a3568b3,1337015531,2,17302707,0,84,0,True,100,4,Li-ion,225,7944
9cc55b67-5cc1-44fa-b58f-072e21637ff4-8,f416bdb2-3848-480a-ab11-77e91a3568b3,1337015531,2,17302707,0,84,0,True,100,4,Li-ion,225,7944
9cc55b67-5cc1-44fa-b58f-072e21637ff4-10,f416bdb2-3848-480a-ab11-77e91a3568b3,1337015831,2,17302707,0,83,0,True,100,4,Li-ion,232,7934
9cc55b67-5cc1-44fa-b58f-072e21637ff4-14,f416bdb2-3848-480a-ab11-77e91a3568b3,1337015981,2,17302707,0,82,0,True,100,4,Li-ion,236,7915
9cc55b67-5cc1-44fa-b58f-072e21637ff4-16,f416bdb2-3848-480a-ab11-77e91a3568b3,1337015981,2,17302707,0,82,0,True,100,4,Li-ion,236,7915
9cc55b67-5cc1-44fa-b58f-072e21637ff4-19,f416bdb2-3848-480a-ab11-77e91a3568b3,1337016232,2,17302707,0,81,0,True,100,4,Li-ion,240,7905
9cc55b67-5cc1-44fa-b58f-072e21637ff4-22,f416bdb2-3848-480a-ab11-77e91a3568b3,1337016232,2,17302707,0,81,0,True,100,4,Li-ion,240,7905
9cc55b67-5cc1-44fa-b58f-072e21637ff4-25,f416bdb2-3848-480a-ab11-77e91a3568b3,1337016432,2,17302707,0,80,0,True,100,4,Li-ion,242,7886
9cc55b67-5cc1-44fa-b58f-072e21637ff4-29,f416bdb2-3848-480a-ab11-77e91a3568b3,1337016432,2,17302707,0,80,0,True,100,4,Li-ion,242,7886
9cc55b67-5cc1-44fa-b58f-072e21637ff4-31,f416bdb2-3848-480a-ab11-77e91a3568b3,1337016684,2,17302707,0,79,0,True,100,4,Li-ion,247,7866
9cc55b67-5cc1-44fa-b58f-072e21637ff4-35,f416bdb2-3848-480a-ab11-77e91a3568b3,1337016934,2,17302707,0,78,0,True,100,4,Li-ion,248,7866
9cc55b67-5cc1-44fa-b58f-072e21637ff4-37,f416bdb2-3848-480a-ab11-77e91a3568b3,1337016934,2,17302707,0,78,0,True,100,4,Li-ion,248,7866
9cc55b67-5cc1-44fa-b58f-072e21637ff4-41,f416bdb2-3848-480a-ab11-77e91a3568b3,1337017134,2,17302707,0,77,0,True,100,4,Li-ion,250,7847
9cc55b67-5cc1-44fa-b58f-072e21637ff4-43,f416bdb2-3848-480a-ab11-77e91a3568b3,1337017134,2,17302707,0,77,0,True,100,4,Li-ion,250,7847
9cc55b67-5cc1-44fa-b58f-072e21637ff4-46,f416bdb2-3848-480a-ab11-77e91a3568b3,1337017385,2,17302707,0,76,0,True,100,4,Li-ion,250,7837
9cc55b67-5cc1-44fa-b58f-072e21637ff4-50,f416bdb2-3848-480a-ab11-77e91a3568b3,1337017385,2,17302707,0,76,0,True,100,4,Li-ion,250,7837
9cc55b67-5cc1-44fa-b58f-072e21637ff4-52,f416bdb2-3848-480a-ab11-77e91a3568b3,1337017585,2,17302707,0,75,0,True,100,4,Li-ion,251,7827
9cc55b67-5cc1-44fa-b58f-072e21637ff4-56,f416bdb2-3848-480a-ab11-77e91a3568b3,1337017585,2,17302707,0,75,0,True,100,4,Li-ion,251,7827
9cc55b67-5cc1-44fa-b58f-072e21637ff4-58,f416bdb2-3848-480a-ab11-77e91a3568b3,1337017885,2,17302707,0,74,0,True,100,4,Li-ion,252,7808
9cc55b67-5cc1-44fa-b58f-072e21637ff4-61,f416bdb2-3848-480a-ab11-77e91a3568b3,1337018035,2,17302707,0,73,0,True,100,4,Li-ion,252,7798
ad6e2ab3-80c2-43e4-9a33-694bd3cc0f30-2,f416bdb2-3848-480a-ab11-77e91a3568b3,1337018035,2,17302707,0,73,0,True,100,4,Li-ion,252,7798
ad6e2ab3-80c2-43e4-9a33-694bd3cc0f30-6,f416bdb2-3848-480a-ab11-77e91a3568b3,1337018336,2,17302707,0,72,0,True,100,4,Li-ion,253,7778
ad6e2ab3-80c2-43e4-9a33-694bd3cc0f30-9,f416bdb2-3848-480a-ab11-77e91a3568b3,1337018336,2,17302707,0,72,0,True,100,4,Li-ion,253,7778
ad6e2ab3-80c2-43e4-9a33-694bd3cc0f30-11,f416bdb2-3848-480a-ab11-77e91a3568b3,1337018536,2,17302707,0,71,0,True,100,4,Li-ion,255,7768
ad6e2ab3-80c2-43e4-9a33-694bd3cc0f30-15,f416bdb2-3848-480a-ab11-77e91a3568b3,1337018536,2,17302707,0,71,0,True,100,4,Li-ion,255,7768
ad6e2ab3-80c2-43e4-9a33-694bd3cc0f30-18,f416bdb2-3848-480a-ab11-77e91a3568b3,1337018836,2,17302707,0,70,0,True,100,4,Li-ion,255,7749
ad6e2ab3-80c2-43e4-9a33-694bd3cc0f30-22,f416bdb2-3848-480a-ab11-77e91a3568b3,1337018836,2,17302707,0,70,0,True,100,4,Li-ion,255,7749
7cc2ff08-4d05-487b-888a-09d481565977-3,f416bdb2-3848-480a-ab11-77e91a3568b3,1337019086,2,17302707,0,69,0,True,100,4,Li-ion,257,7739
7cc2ff08-4d05-487b-888a-09d481565977-7,f416bdb2-3848-480a-ab11-77e91a3568b3,1337019290,2,17302707,0,68,0,True,100,4,Li-ion,257,7720
7cc2ff08-4d05-487b-888a-09d481565977-9,f416bdb2-3848-480a-ab11-77e91a3568b3,1337019290,2,17302707,0,68,0,True,100,4,Li-ion,257,7720
7cc2ff08-4d05-487b-888a-09d481565977-13,f416bdb2-3848-480a-ab11-77e91a3568b3,1337019590,2,17302707,0,67,0,True,100,4,Li-ion,260,7700
7cc2ff08-4d05-487b-888a-09d481565977-15,f416bdb2-3848-480a-ab11-77e91a3568b3,1337019590,2,17302707,0,67,0,True,100,4,Li-ion,260,7700
7cc2ff08-4d05-487b-888a-09d481565977-18,f416bdb2-3848-480a-ab11-77e91a3568b3,1337019740,2,17302707,0,66,0,True,100,4,Li-ion,260,7700
7cc2ff08-4d05-487b-888a-09d481565977-22,f416bdb2-3848-480a-ab11-77e91a3568b3,1337019740,2,17302707,0,66,0,True,100,4,Li-ion,260,7700
7cc2ff08-4d05-487b-888a-09d481565977-24,f416bdb2-3848-480a-ab11-77e91a3568b3,1337020040,2,17302707,0,65,0,True,100,4,Li-ion,260,7681
7cc2ff08-4d05-487b-888a-09d481565977-28,f416bdb2-3848-480a-ab11-77e91a3568b3,1337020240,2,17302707,0,64,0,True,100,4,Li-ion,260,7661
7cc2ff08-4d05-487b-888a-09d481565977-29,f416bdb2-3848-480a-ab11-77e91a3568b3,1337020240,2,17302707,0,64,0,True,100,4,Li-ion,260,7661
7cc2ff08-4d05-487b-888a-09d481565977-34,f416bdb2-3848-480a-ab11-77e91a3568b3,1337020491,2,17302707,0,63,0,True,100,4,Li-ion,260,7642
7cc2ff08-4d05-487b-888a-09d481565977-36,f416bdb2-3848-480a-ab11-77e91a3568b3,1337020491,2,17302707,0,63,0,True,100,4,Li-ion,260,7642
7cc2ff08-4d05-487b-888a-09d481565977-41,f416bdb2-3848-480a-ab11-77e91a3568b3,1337020791,2,17302707,0,62,0,True,100,4,Li-ion,262,7632
7cc2ff08-4d05-487b-888a-09d481565977-43,f416bdb2-3848-480a-ab11-77e91a3568b3,1337020791,2,17302707,0,62,0,True,100,4,Li-ion,262,7632
7cc2ff08-4d05-487b-888a-09d481565977-46,f416bdb2-3848-480a-ab11-77e91a3568b3,1337020991,2,17302707,0,61,0,True,100,4,Li-ion,262,7612
7cc2ff08-4d05-487b-888a-09d481565977-49,f416bdb2-3848-480a-ab11-77e91a3568b3,1337020991,2,17302707,0,61,0,True,100,4,Li-ion,262,7612
7cc2ff08-4d05-487b-888a-09d481565977-52,f416bdb2-3848-480a-ab11-77e91a3568b3,1337021244,2,17302707,0,60,0,True,100,4,Li-ion,262,7603
7cc2ff08-4d05-487b-888a-09d481565977-114,f416bdb2-3848-480a-ab11-77e91a3568b3,1337021394,2,17302707,0,59,0,True,100,4,Li-ion,265,7573
7cc2ff08-4d05-487b-888a-09d481565977-127,f416bdb2-3848-480a-ab11-77e91a3568b3,1337021394,2,17302707,0,59,0,True,100,4,Li-ion,265,7573
7cc2ff08-4d05-487b-888a-09d481565977-200,f416bdb2-3848-480a-ab11-77e91a3568b3,1337021644,2,17302707,0,58,0,True,100,4,Li-ion,267,7583
6f7b8c23-6df3-4c13-bd8b-ad474c1ae28c-2,f416bdb2-3848-480a-ab11-77e91a3568b3,1337021644,2,17302707,0,58,0,True,100,4,Li-ion,267,7583
6f7b8c23-6df3-4c13-bd8b-ad474c1ae28c-4,f416bdb2-3848-480a-ab11-77e91a3568b3,1337021844,2,17302707,0,57,0,True,100,4,Li-ion,268,7573
6f7b8c23-6df3-4c13-bd8b-ad474c1ae28c-9,f416bdb2-3848-480a-ab11-77e91a3568b3,1337021844,2,17302707,0,57,0,True,100,4,Li-ion,268,7573
6f7b8c23-6df3-4c13-bd8b-ad474c1ae28c-12,f416bdb2-3848-480a-ab11-77e91a3568b3,1337022145,2,17302707,0,56,0,True,100,4,Li-ion,273,7564
6f7b8c23-6df3-4c13-bd8b-ad474c1ae28c-16,f416bdb2-3848-480a-ab11-77e91a3568b3,1337022345,2,17302707,0,55,0,True,100,4,Li-ion,277,7544
6f7b8c23-6df3-4c13-bd8b-ad474c1ae28c-17,f416bdb2-3848-480a-ab11-77e91a3568b3,1337022345,2,17302707,0,55,0,True,100,4,Li-ion,277,7544
6f7b8c23-6df3-4c13-bd8b-ad474c1ae28c-25,f416bdb2-3848-480a-ab11-77e91a3568b3,1337022595,2,17302707,0,54,0,True,100,4,Li-ion,283,7544
6f7b8c23-6df3-4c13-bd8b-ad474c1ae28c-67,f416bdb2-3848-480a-ab11-77e91a3568b3,1337022717,2,17302707,0,54,0,True,100,4,Li-ion,282,7554
6d8204f4-5045-420f-a23c-b51d50e1f452-3,f416bdb2-3848-480a-ab11-77e91a3568b3,1337022717,2,17302707,0,54,0,True,100,4,Li-ion,282,7554
6d8204f4-5045-420f-a23c-b51d50e1f452-6,f416bdb2-3848-480a-ab11-77e91a3568b3,1337022892,2,17302707,0,53,0,True,100,4,Li-ion,282,7544
6d8204f4-5045-420f-a23c-b51d50e1f452-9,f416bdb2-3848-480a-ab11-77e91a3568b3,1337022892,2,17302707,0,53,0,True,100,4,Li-ion,282,7544
6d8204f4-5045-420f-a23c-b51d50e1f452-11,f416bdb2-3848-480a-ab11-77e91a3568b3,1337023092,2,17302707,0,52,0,True,100,4,Li-ion,285,7534
6d8204f4-5045-420f-a23c-b51d50e1f452-16,f416bdb2-3848-480a-ab11-77e91a3568b3,1337023092,2,17302707,0,52,0,True,100,4,Li-ion,285,7534
6d8204f4-5045-420f-a23c-b51d50e1f452-17,f416bdb2-3848-480a-ab11-77e91a3568b3,1337023342,2,17302707,0,51,0,True,100,4,Li-ion,285,7534
6d8204f4-5045-420f-a23c-b51d50e1f452-21,f416bdb2-3848-480a-ab11-77e91a3568b3,1337023542,2,17302707,0,50,0,True,100,4,Li-ion,291,7515
6d8204f4-5045-420f-a23c-b51d50e1f452-23,f416bdb2-3848-480a-ab11-77e91a3568b3,1337023542,2,17302707,0,50,0,True,100,4,Li-ion,291,7515
6d8204f4-5045-420f-a23c-b51d50e1f452-27,f416bdb2-3848-480a-ab11-77e91a3568b3,1337023792,2,17302707,0,49,0,True,100,4,Li-ion,288,7515
6d8204f4-5045-420f-a23c-b51d50e1f452-30,f416bdb2-3848-480a-ab11-77e91a3568b3,1337023792,2,17302707,0,49,0,True,100,4,Li-ion,288,7515
6d8204f4-5045-420f-a23c-b51d50e1f452-32,f416bdb2-3848-480a-ab11-77e91a3568b3,1337023992,2,17302707,0,48,0,True,100,4,Li-ion,286,7515
6d8204f4-5045-420f-a23c-b51d50e1f452-37,f416bdb2-3848-480a-ab11-77e91a3568b3,1337023992,2,17302707,0,48,0,True,100,4,Li-ion,286,7515
6d8204f4-5045-420f-a23c-b51d50e1f452-38,f416bdb2-3848-480a-ab11-77e91a3568b3,1337024243,2,17302707,0,47,0,True,100,4,Li-ion,285,7505
6d8204f4-5045-420f-a23c-b51d50e1f452-42,f416bdb2-3848-480a-ab11-77e91a3568b3,1337024443,2,17302707,0,46,0,True,100,4,Li-ion,282,7495
