id,device,timestamp,HIGH_ACTIVITY_INTERVALS,LOW_ACTIVITY_INTERVALS,TOTAL_INTERVALS
34ccce1c-7483-43f0-962e-371308f4161f-3,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336968756,10,2,15
34ccce1c-7483-43f0-962e-371308f4161f-7,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336968876,14,0,15
34ccce1c-7483-43f0-962e-371308f4161f-11,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336968996,14,0,15
34ccce1c-7483-43f0-962e-371308f4161f-16,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336969116,14,0,15
34ccce1c-7483-43f0-962e-371308f4161f-19,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336969236,14,0,15
34ccce1c-7483-43f0-962e-371308f4161f-22,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336969356,11,2,15
34ccce1c-7483-43f0-962e-371308f4161f-26,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336969476,0,3,15
b5957624-e502-4c72-a0b6-ab470f4bc46f-2,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336636690,0,0,1
b5957624-e502-4c72-a0b6-ab470f4bc46f-7,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336636818,0,0,2
b5957624-e502-4c72-a0b6-ab470f4bc46f-11,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336636981,0,0,9
b5957624-e502-4c72-a0b6-ab470f4bc46f-14,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336637118,0,0,4
b5957624-e502-4c72-a0b6-ab470f4bc46f-17,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336637286,0,0,3
b5957624-e502-4c72-a0b6-ab470f4bc46f-20,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336637585,0,0,4
b5957624-e502-4c72-a0b6-ab470f4bc46f-23,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336637760,0,0,5
b5957624-e502-4c72-a0b6-ab470f4bc46f-26,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336637870,0,0,15
b5957624-e502-4c72-a0b6-ab470f4bc46f-29,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336638187,0,0,3
b5957624-e502-4c72-a0b6-ab470f4bc46f-31,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336638398,0,0,15
b5957624-e502-4c72-a0b6-ab470f4bc46f-34,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336638518,0,0,15
b5957624-e502-4c72-a0b6-ab470f4bc46f-36,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336638638,0,0,15
b5957624-e502-4c72-a0b6-ab470f4bc46f-39,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336638758,6,1,15
842fbdea-9938-48c7-9d54-9082f7809400-3,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336623263,14,0,15
842fbdea-9938-48c7-9d54-9082f7809400-6,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336623385,6,2,13
842fbdea-9938-48c7-9d54-9082f7809400-9,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336623720,0,2,8
842fbdea-9938-48c7-9d54-9082f7809400-12,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336624023,0,0,6
842fbdea-9938-48c7-9d54-9082f7809400-14,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336624146,0,0,6
842fbdea-9938-48c7-9d54-9082f7809400-17,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336624320,0,0,8
842fbdea-9938-48c7-9d54-9082f7809400-20,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336624624,0,0,5
842fbdea-9938-48c7-9d54-9082f7809400-22,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336624742,0,0,7
842fbdea-9938-48c7-9d54-9082f7809400-25,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336624923,0,0,6
842fbdea-9938-48c7-9d54-9082f7809400-28,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336625224,0,0,5
3745d973-34a1-461d-a0b7-8994237fca47-7,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336621823,1,8,15
3745d973-34a1-461d-a0b7-8994237fca47-11,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336621955,0,0,3
