id,device,timestamp,value
688613b6-5183-470f-8ef7-b16d92bd3781-3,fe91685a-8f86-42de-9b16-6c01aff0b901,331269,"{""Scene:"" { ""url"": ""scenes/intro.swf"",""duckColor"": ""white"",""colorsLearned"": ""white,red,yellow,blue"",""numbersLearned"": """",""frogColorToFollow"": ""null"",}}"
688613b6-5183-470f-8ef7-b16d92bd3781-4,fe91685a-8f86-42de-9b16-6c01aff0b901,331271,"{""Scene:"" { ""url"": ""scenes/scene_1.swf"",""duckColor"": ""white"",""colorsLearned"": ""white,red,yellow,blue"",""numbersLearned"": """",""frogColorToFollow"": ""null"",}}"
688613b6-5183-470f-8ef7-b16d92bd3781-5,fe91685a-8f86-42de-9b16-6c01aff0b901,331272,"{""Scene:"" { ""url"": ""scenes/intro.swf"",""duckColor"": ""white"",""colorsLearned"": ""white,red,yellow,blue"",""numbersLearned"": """",""frogColorToFollow"": ""null"",}}"
688613b6-5183-470f-8ef7-b16d92bd3781-6,fe91685a-8f86-42de-9b16-6c01aff0b901,331278,"{""Scene:"" { ""url"": ""scenes/scene_1.swf"",""duckColor"": ""white"",""colorsLearned"": ""white,red,yellow,blue"",""numbersLearned"": """",""frogColorToFollow"": ""null"",}}"
688613b6-5183-470f-8ef7-b16d92bd3781-7,fe91685a-8f86-42de-9b16-6c01aff0b901,331278,"{""Scene:"" { ""url"": ""scenes/scene_2.swf"",""duckColor"": ""white"",""colorsLearned"": ""white,red,yellow,blue"",""numbersLearned"": """",""frogColorToFollow"": ""null"",}}"
688613b6-5183-470f-8ef7-b16d92bd3781-8,fe91685a-8f86-42de-9b16-6c01aff0b901,331280,"{""Scene:"" { ""url"": ""scenes/scene_3.swf"",""duckColor"": ""white"",""colorsLearned"": ""white,red,yellow,blue"",""numbersLearned"": """",""frogColorToFollow"": ""null"",}}"
688613b6-5183-470f-8ef7-b16d92bd3781-9,fe91685a-8f86-42de-9b16-6c01aff0b901,331281,"{""Scene:"" { ""url"": ""scenes/scene_4.swf"",""duckColor"": ""white"",""colorsLearned"": ""white,red,yellow,blue"",""numbersLearned"": """",""frogColorToFollow"": ""null"",}}"
688613b6-5183-470f-8ef7-b16d92bd3781-10,fe91685a-8f86-42de-9b16-6c01aff0b901,331282,"{""TinkrWord:"" ""Your""}"
688613b6-5183-470f-8ef7-b16d92bd3781-11,fe91685a-8f86-42de-9b16-6c01aff0b901,331283,"{""SoundPlayed:"" ""app:/audio/child_stanzas/scene4_child_stanza.mp3""}"
688613b6-5183-470f-8ef7-b16d92bd3781-12,fe91685a-8f86-42de-9b16-6c01aff0b901,331284,"{""TinkrGraphic:"" ""graphic4 (duck.)""}"
688613b6-5183-470f-8ef7-b16d92bd3781-13,fe91685a-8f86-42de-9b16-6c01aff0b901,331285,"{""Scene:"" { ""url"": ""scenes/scene_3.swf"",""duckColor"": ""white"",""colorsLearned"": ""white,red,yellow,blue"",""numbersLearned"": """",""frogColorToFollow"": ""null"",}}"
688613b6-5183-470f-8ef7-b16d92bd3781-14,fe91685a-8f86-42de-9b16-6c01aff0b901,331289,"{""Scene:"" { ""url"": ""scenes/scene_2.swf"",""duckColor"": ""white"",""colorsLearned"": ""white,red,yellow,blue"",""numbersLearned"": """",""frogColorToFollow"": ""null"",}}"
5b791050-b64a-44ac-9d1a-10e8eafc4608-3,fe91685a-8f86-42de-9b16-6c01aff0b901,363137,"{""Scene:"" { ""url"": ""scenes/intro.swf"",""duckColor"": ""white"",""colorsLearned"": ""white,red,yellow,blue"",""numbersLearned"": """",""frogColorToFollow"": ""null"",}}"
5b791050-b64a-44ac-9d1a-10e8eafc4608-4,fe91685a-8f86-42de-9b16-6c01aff0b901,363138,"{""Scene:"" { ""url"": ""scenes/scene_1.swf"",""duckColor"": ""white"",""colorsLearned"": ""white,red,yellow,blue"",""numbersLearned"": """",""frogColorToFollow"": ""null"",}}"
5b791050-b64a-44ac-9d1a-10e8eafc4608-5,fe91685a-8f86-42de-9b16-6c01aff0b901,363145,"{""Scene:"" { ""url"": ""scenes/scene_2.swf"",""duckColor"": ""white"",""colorsLearned"": ""white,red,yellow,blue"",""numbersLearned"": """",""frogColorToFollow"": ""null"",}}"
5b791050-b64a-44ac-9d1a-10e8eafc4608-6,fe91685a-8f86-42de-9b16-6c01aff0b901,363146,"{""TinkrGraphic:"" ""graphic6 (me,)""}"
5b791050-b64a-44ac-9d1a-10e8eafc4608-7,fe91685a-8f86-42de-9b16-6c01aff0b901,363146,"{""Scene:"" { ""url"": ""scenes/scene_3.swf"",""duckColor"": ""white"",""colorsLearned"": ""white,red,yellow,blue"",""numbersLearned"": """",""frogColorToFollow"": ""null"",}}"
5b791050-b64a-44ac-9d1a-10e8eafc4608-8,fe91685a-8f86-42de-9b16-6c01aff0b901,363147,"{""SoundPlayed:"" ""app:/audio/duck_stanzas/scene3_duck_stanza.mp3""}"
5b791050-b64a-44ac-9d1a-10e8eafc4608-9,fe91685a-8f86-42de-9b16-6c01aff0b901,363148,"{""Scene:"" { ""url"": ""scenes/scene_4.swf"",""duckColor"": ""white"",""colorsLearned"": ""white,red,yellow,blue"",""numbersLearned"": """",""frogColorToFollow"": ""null"",}}"
5b791050-b64a-44ac-9d1a-10e8eafc4608-10,fe91685a-8f86-42de-9b16-6c01aff0b901,363149,"{""Scene:"" { ""url"": ""scenes/scene_5.swf"",""duckColor"": ""white"",""colorsLearned"": ""white,red,yellow,blue"",""numbersLearned"": """",""frogColorToFollow"": ""null"",}}"
5b791050-b64a-44ac-9d1a-10e8eafc4608-11,fe91685a-8f86-42de-9b16-6c01aff0b901,363150,"{""Scene:"" { ""url"": ""scenes/scene_6.swf"",""duckColor"": ""white"",""colorsLearned"": ""white,red,yellow,blue"",""numbersLearned"": """",""frogColorToFollow"": ""null"",}}"
5b791050-b64a-44ac-9d1a-10e8eafc4608-12,fe91685a-8f86-42de-9b16-6c01aff0b901,363151,"{""Scene:"" { ""url"": ""scenes/scene_7.swf"",""duckColor"": ""white"",""colorsLearned"": ""white,red,yellow,blue"",""numbersLearned"": """",""frogColorToFollow"": ""null"",}}"
