id,device,timestamp,RUNNING_TASKS_baseActivity_mClass,RUNNING_TASKS_baseActivity_mPackage,RUNNING_TASKS_id,RUNNING_TASKS_numActivities,RUNNING_TASKS_numRunning,RUNNING_TASKS_topActivity_mClass,RUNNING_TASKS_topActivity_mPackage
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-14,7a0741f5-f85d-4fdc-888d-64fed060f071,1273883630,com.google.android.gsf.loginservice.LoginActivity,com.google.android.gsf.login,4,4,4,com.google.android.gsf.login.LoginActivity,com.google.android.gsf.login
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-14,7a0741f5-f85d-4fdc-888d-64fed060f071,1273883630,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-18,7a0741f5-f85d-4fdc-888d-64fed060f071,1273883700,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-18,7a0741f5-f85d-4fdc-888d-64fed060f071,1273883700,com.google.android.gsf.loginservice.LoginActivity,com.google.android.gsf.login,4,4,4,com.google.android.gsf.login.LoginActivity,com.google.android.gsf.login
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-98,7a0741f5-f85d-4fdc-888d-64fed060f071,1337010117,com.google.android.gsf.loginservice.LoginActivity,com.google.android.gsf.login,14,4,4,com.google.android.gsf.login.LoginActivity,com.google.android.gsf.login
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-98,7a0741f5-f85d-4fdc-888d-64fed060f071,1337010117,com.carrotapp.protectpronew.Ask,com.carrotapp.protectpronew,15,1,1,com.carrotapp.protectpronew.Ask,com.carrotapp.protectpronew
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-98,7a0741f5-f85d-4fdc-888d-64fed060f071,1337010117,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-98,7a0741f5-f85d-4fdc-888d-64fed060f071,1337010117,com.android.settings.Settings,com.android.settings,5,1,1,com.android.settings.Settings,com.android.settings
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-98,7a0741f5-f85d-4fdc-888d-64fed060f071,1337010117,com.google.android.gsf.loginservice.LoginActivity,com.google.android.gsf.login,4,4,4,com.google.android.gsf.login.LoginActivity,com.google.android.gsf.login
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-101,7a0741f5-f85d-4fdc-888d-64fed060f071,1337010182,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-101,7a0741f5-f85d-4fdc-888d-64fed060f071,1337010182,com.google.android.gsf.loginservice.LoginActivity,com.google.android.gsf.login,14,4,4,com.google.android.gsf.login.LoginActivity,com.google.android.gsf.login
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-101,7a0741f5-f85d-4fdc-888d-64fed060f071,1337010182,com.carrotapp.protectpronew.Ask,com.carrotapp.protectpronew,15,1,1,com.carrotapp.protectpronew.Ask,com.carrotapp.protectpronew
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-101,7a0741f5-f85d-4fdc-888d-64fed060f071,1337010182,com.android.settings.Settings,com.android.settings,5,1,1,com.android.settings.Settings,com.android.settings
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-101,7a0741f5-f85d-4fdc-888d-64fed060f071,1337010182,com.google.android.gsf.loginservice.LoginActivity,com.google.android.gsf.login,4,4,4,com.google.android.gsf.login.LoginActivity,com.google.android.gsf.login
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-140,7a0741f5-f85d-4fdc-888d-64fed060f071,1337010252,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-140,7a0741f5-f85d-4fdc-888d-64fed060f071,1337010252,com.google.android.gsf.loginservice.LoginActivity,com.google.android.gsf.login,14,4,4,com.google.android.gsf.login.LoginActivity,com.google.android.gsf.login
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-140,7a0741f5-f85d-4fdc-888d-64fed060f071,1337010252,com.carrotapp.protectpronew.Ask,com.carrotapp.protectpronew,15,1,1,com.carrotapp.protectpronew.Ask,com.carrotapp.protectpronew
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-140,7a0741f5-f85d-4fdc-888d-64fed060f071,1337010252,com.android.settings.Settings,com.android.settings,5,1,1,com.android.settings.Settings,com.android.settings
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-140,7a0741f5-f85d-4fdc-888d-64fed060f071,1337010252,com.google.android.gsf.loginservice.LoginActivity,com.google.android.gsf.login,4,4,4,com.google.android.gsf.login.LoginActivity,com.google.android.gsf.login
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-141,7a0741f5-f85d-4fdc-888d-64fed060f071,1337010322,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-141,7a0741f5-f85d-4fdc-888d-64fed060f071,1337010322,com.google.android.gsf.loginservice.LoginActivity,com.google.android.gsf.login,14,4,4,com.google.android.gsf.login.LoginActivity,com.google.android.gsf.login
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-141,7a0741f5-f85d-4fdc-888d-64fed060f071,1337010322,com.carrotapp.protectpronew.Ask,com.carrotapp.protectpronew,15,1,1,com.carrotapp.protectpronew.Ask,com.carrotapp.protectpronew
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-141,7a0741f5-f85d-4fdc-888d-64fed060f071,1337010322,com.android.settings.Settings,com.android.settings,5,1,1,com.android.settings.Settings,com.android.settings
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-141,7a0741f5-f85d-4fdc-888d-64fed060f071,1337010322,com.google.android.gsf.loginservice.LoginActivity,com.google.android.gsf.login,4,4,4,com.google.android.gsf.login.LoginActivity,com.google.android.gsf.login
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-142,7a0741f5-f85d-4fdc-888d-64fed060f071,1337010387,com.android.launcher2.Launcher,com.android.launcher,2,1,1,com.android.launcher2.Launcher,com.android.launcher
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-142,7a0741f5-f85d-4fdc-888d-64fed060f071,1337010387,com.google.android.gsf.loginservice.LoginActivity,com.google.android.gsf.login,14,4,4,com.google.android.gsf.login.LoginActivity,com.google.android.gsf.login
dd1232ef-4bd9-42bf-af6b-c9f5fa903230-142,7a0741f5-f85d-4fdc-888d-64fed060f071,1337010387,com.carrotapp.protectpronew.Ask,com.carrotapp.protectpronew,15,1,1,com.carrotapp.protectpronew.Ask,com.carrotapp.protectpronew
