id,device,timestamp,name,type,value,values_colorsLearned,values_duckColor,values_frogColorToFollow,values_numbersLearned,values_url,x,y
fd24ccc5-3ad4-48d2-84f6-1fced977f06a-9,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337010941,,Scene,,"white,red,yellow,blue",white,null,,scenes/tinkrbook_splash.swf,,
fd24ccc5-3ad4-48d2-84f6-1fced977f06a-10,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337010941,D,TinkrWord,,,,,,,,
fd24ccc5-3ad4-48d2-84f6-1fced977f06a-11,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337010941,,,"{""type"":""FingerDown"",""x"":107,""y"":61}1337009266356",,,,,,,
fd24ccc5-3ad4-48d2-84f6-1fced977f06a-12,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337010941,,,"{""type"":""FingerDown"",""x"":108.3,""y"":49.15}1337009266501",,,,,,,
fd24ccc5-3ad4-48d2-84f6-1fced977f06a-14,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337010941,,,"{""type"":""FingerDown"",""x"":131,""y"":23}1337009266985",,,,,,,
fd24ccc5-3ad4-48d2-84f6-1fced977f06a-15,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337010941,,,"{""type"":""FingerDown"",""x"":232,""y"":27}1337009267506",,,,,,,
fd24ccc5-3ad4-48d2-84f6-1fced977f06a-16,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337010941,,,"{""type"":""Iconimation"",""name"":""word1""}1337009267991",,,,,,,
fd24ccc5-3ad4-48d2-84f6-1fced977f06a-17,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337010941,,,"{""type"":""Iconimation"",""name"":""word1""}1337009268641",,,,,,,
64b78a11-0e7b-4f6a-9b49-a90dc1e4a5a9-112,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337018495,,Scene,,"white,red,yellow,blue",white,null,,scenes/tinkrbook_splash.swf,,
64b78a11-0e7b-4f6a-9b49-a90dc1e4a5a9-113,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337018495,Baby,TinkrWord,,,,,,,,
64b78a11-0e7b-4f6a-9b49-a90dc1e4a5a9-114,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337018495,,,"{""type"":""Iconimation"",""name"":""word1""}1337017891292",,,,,,,
64b78a11-0e7b-4f6a-9b49-a90dc1e4a5a9-115,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337018495,,,"{""type"":""FingerDown"",""x"":47,""y"":63}1337017893127",,,,,,,
64b78a11-0e7b-4f6a-9b49-a90dc1e4a5a9-116,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337018495,,,"{""type"":""Iconimation"",""name"":""word1""}1337017894503",,,,,,,
64b78a11-0e7b-4f6a-9b49-a90dc1e4a5a9-117,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337018495,,,"{""type"":""Iconimation"",""name"":""word1""}1337017896201",,,,,,,
64b78a11-0e7b-4f6a-9b49-a90dc1e4a5a9-118,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337018495,,,"{""type"":""Iconimation"",""name"":""word1""}1337017897794",,,,,,,
64b78a11-0e7b-4f6a-9b49-a90dc1e4a5a9-119,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337018495,,,"{""type"":""Iconimation"",""name"":""word1""}1337017899235",,,,,,,
64b78a11-0e7b-4f6a-9b49-a90dc1e4a5a9-120,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337018495,,,"{""type"":""Iconimation"",""name"":""word1""}1337017900382",,,,,,,
64b78a11-0e7b-4f6a-9b49-a90dc1e4a5a9-121,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337018495,,,"{""type"":""Iconimation"",""name"":""word1""}1337017901951",,,,,,,
64b78a11-0e7b-4f6a-9b49-a90dc1e4a5a9-122,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337018495,,,"{""type"":""Iconimation"",""name"":""word1""}1337017902996",,,,,,,
64b78a11-0e7b-4f6a-9b49-a90dc1e4a5a9-123,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337018495,,,"{""type"":""FingerDown"",""x"":28,""y"":17}1337017904155",,,,,,,
64b78a11-0e7b-4f6a-9b49-a90dc1e4a5a9-124,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337018495,,,"{""type"":""Iconimation"",""name"":""word1""}1337017907003",,,,,,,
64b78a11-0e7b-4f6a-9b49-a90dc1e4a5a9-125,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337018495,,,"{""type"":""FingerDown"",""x"":44,""y"":71}1337017908944",,,,,,,
64b78a11-0e7b-4f6a-9b49-a90dc1e4a5a9-126,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337018495,,,"{""type"":""Iconimation"",""name"":""word1""}1337017910753",,,,,,,
64b78a11-0e7b-4f6a-9b49-a90dc1e4a5a9-127,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337018495,,,"{""type"":""FingerDown"",""x"":45,""y"":99}1337017913454",,,,,,,
64b78a11-0e7b-4f6a-9b49-a90dc1e4a5a9-128,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337018495,,,"{""type"":""FingerDown"",""x"":13,""y"":80}1337017915252",,,,,,,
